Date : 2021-05-10 22:15:44
Directory : d:\Go-Projects\src\GoProjects\CoffeeTwist
Total : 176 files,  53108 codes, 1233 comments, 3230 blanks, all 57571 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| backend\tests                                                                                                          |          1 |          1 |          0 |          1 |          2 |
| backend\websocket                                                                                                      |          3 |         78 |          3 |         13 |         94 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| filename                                                                                                               | language             | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
| d:\Go-Projects\src\GoProjects\CoffeeTwist\.dockerignore                                                                | Ignore               |          2 |          0 |          0 |          2 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\Dockerfile                                                                   | Docker               |         16 |          4 |          4 |         24 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\README.md                                                        | Markdown             |         38 |          0 |         33 |         71 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\debug.log                                                        | Log                  |          2 |          0 |          1 |          3 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\package-lock.json                                                | JSON                 |     17,408 |          0 |          1 |     17,409 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\package.json                                                     | JSON                 |         76 |          0 |          1 |         77 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\assets\i18n\translations\el.json                          | JSON                 |          0 |          0 |          1 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\assets\i18n\translations\en.json                          | JSON                 |          0 |          0 |          1 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\index.html                                                | Golang HTML Template |         41 |          0 |          4 |         45 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\manifest.json                                             | JSON                 |         25 |          0 |          1 |         26 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\public\robots.txt                                                | Django txt           |          3 |          0 |          1 |          4 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\actions.js                                           | JavaScript           |         66 |         29 |         23 |        118 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\comments.js                                          | JavaScript           |         97 |          5 |          5 |        107 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\items.js                                             | JavaScript           |        424 |         40 |         23 |        487 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\messages.js                                          | JavaScript           |         44 |         11 |          8 |         63 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\orders.js                                            | JavaScript           |        164 |         21 |         16 |        201 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\snackbar.js                                          | JavaScript           |         26 |         13 |          7 |         46 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\user.js                                              | JavaScript           |        272 |         42 |         20 |        334 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\actions\webSocket.js                                         | JavaScript           |         74 |         13 |         12 |         99 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\Images\fb.svg                                         | XML                  |        279 |          0 |          0 |        279 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\Images\gmail-logo.svg                                 | XML                  |          1 |          0 |          0 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\assets\svg.js                                                | JavaScript           |         26 |          2 |          3 |         31 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\App.js                                            | JavaScript           |        115 |         22 |         17 |        154 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Footer.js                                  | JavaScript           |        146 |         26 |         11 |        183 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Header.js                                  | JavaScript           |        132 |          6 |         11 |        149 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\Marker.js                                  | JavaScript           |         28 |          1 |          3 |         32 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\NotFound.js                                | JavaScript           |         12 |          0 |          2 |         14 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Layout\SearchBar.js                               | JavaScript           |        101 |          0 |          6 |        107 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Logging\SnackBars\ErrorSnackbar.js                | JavaScript           |         31 |         18 |          5 |         54 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Logging\SnackBars\InfoSnackbar.js                 | JavaScript           |         31 |         26 |          6 |         63 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Logging\SnackBars\SuccessSnackbar.js              | JavaScript           |         31 |         26 |          6 |         63 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Modals\AddressModal.js                            | JavaScript           |        180 |         33 |         13 |        226 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Modals\EditAddressModal.js                        | JavaScript           |        214 |         50 |         17 |        281 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Modals\LogRegModal.js                             | JavaScript           |        255 |          0 |         11 |        266 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Modals\OrderItemModal.js                          | JavaScript           |        456 |         19 |         18 |        493 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\Alert\AlertModal.js                      | JavaScript           |         58 |          1 |          5 |         64 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\Alert\Alerts.js                          | JavaScript           |         22 |          0 |          6 |         28 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\Alert\AlertsOverlay.js                   | JavaScript           |         18 |          0 |          5 |         23 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\MainPanel.js                             | JavaScript           |          8 |          0 |          3 |         11 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrderMenuPageComponents\LeftSideBar.js   | JavaScript           |         43 |          0 |          4 |         47 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrderMenuPageComponents\MainContent.js   | JavaScript           |         54 |          4 |          4 |         62 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrderMenuPageComponents\OrderMenuPage.js | JavaScript           |         33 |          0 |          4 |         37 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrderMenuPageComponents\RightBar.js      | JavaScript           |         19 |          0 |          4 |         23 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrderMenuPageComponents\TopBar.js        | JavaScript           |         20 |          0 |          2 |         22 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\OrdersPage.js                            | JavaScript           |         55 |          0 |          6 |         61 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\SideNavBar\SideNavBar.js                 | JavaScript           |         39 |          2 |          5 |         46 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\SideNavBar\SideNavBarData.js             | JavaScript           |         41 |          0 |          2 |         43 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\AllUsersPage.js                    | JavaScript           |         19 |          1 |          3 |         23 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\LoginForm.js                       | JavaScript           |         62 |          9 |          6 |         77 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\LoginPage.js                       | JavaScript           |         13 |          0 |          3 |         16 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\RegisterForm.js                    | JavaScript           |        167 |          3 |          6 |        176 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\RegisterPage.js                    | JavaScript           |         13 |          0 |          3 |         16 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\NotUsing\users\UsersPage.js                       | JavaScript           |         29 |          0 |          5 |         34 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\AdminMainPage.js                   | JavaScript           |        148 |          4 |         13 |        165 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\ChatHistory.js                     | JavaScript           |         22 |          1 |          4 |         27 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Comments\AllComents.js             | JavaScript           |        119 |          0 |          8 |        127 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Common\tabs.js                     | JavaScript           |          1 |          0 |          1 |          2 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\CommentsCatalog.js      | JavaScript           |        152 |          2 |          8 |        162 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\IngredientsCatalog.js   | JavaScript           |         70 |          4 |          7 |         81 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\InnerSidebarCatalog.js  | JavaScript           |         77 |          2 |          5 |         84 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\OrdersCatalog.js        | JavaScript           |        233 |          3 |          8 |        244 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\ProductCatalog.js       | JavaScript           |         70 |          2 |          7 |         79 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\RightContainer.js       | JavaScript           |        108 |          4 |          5 |        117 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Components\Sidebar.js              | JavaScript           |         50 |          2 |          5 |         57 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Orders\AwaitingOrders.js           | JavaScript           |          0 |          0 |          1 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Admin\Stats\StatsPage.js                 | JavaScript           |         99 |          2 |         15 |        116 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Common\PrivateRoute.js                   | JavaScript           |         17 |          2 |          3 |         22 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Common\TextData.js                       | JavaScript           |          0 |          7 |          1 |          8 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Common\TextPage.js                       | JavaScript           |         26 |          1 |          3 |         30 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\Choices.js                        | JavaScript           |         35 |          0 |          2 |         37 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateCategoryForm.js             | JavaScript           |        118 |          3 |          9 |        130 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateChoiceForm.js               | JavaScript           |        175 |          0 |         12 |        187 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateForm.js                     | JavaScript           |         42 |          0 |          6 |         48 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateIngredientForm.js           | JavaScript           |        141 |          0 |          8 |        149 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateItemForm.js                 | JavaScript           |        416 |          4 |         22 |        442 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreateOptionsData.js              | JavaScript           |         14 |          0 |          1 |         15 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Create\CreatePage.js                     | JavaScript           |         70 |          0 |          3 |         73 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Home\HomePage.js                         | JavaScript           |         67 |         48 |          7 |        122 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Order\OrderMainPage.js                   | JavaScript           |        572 |         16 |         17 |        605 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Order\PreCompleteOrderPage.js            | JavaScript           |        506 |         15 |         20 |        541 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Users\MainPage.js                        | JavaScript           |        193 |          2 |         13 |        208 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Users\UserAddress.js                     | JavaScript           |        252 |          1 |         14 |        267 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Users\UserOrders.js                      | JavaScript           |        237 |         10 |         10 |        257 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\Users\UserRatings.js                     | JavaScript           |         52 |          0 |          5 |         57 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Choices\ChoicesComponent.js         | JavaScript           |        104 |          1 |          7 |        112 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Choices\SingleChoicePage.js         | JavaScript           |        191 |          1 |         13 |        205 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Ingredients\IngredientsComponent.js | JavaScript           |        113 |          0 |          8 |        121 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Ingredients\SingleIngredientPage.js | JavaScript           |        160 |          4 |         10 |        174 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\ItemsPage.js                        | JavaScript           |         65 |          0 |          4 |         69 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Products\ItemsComponent.js          | JavaScript           |        151 |          2 |          9 |        162 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\components\Sections\View\Products\SingleItemPage.js          | JavaScript           |        337 |          2 |         19 |        358 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\App\App.css                                              | CSS                  |         22 |          3 |          4 |         29 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Layout\footer.css                                        | CSS                  |         55 |          9 |         13 |         77 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Layout\general.css                                       | CSS                  |         90 |          8 |         13 |        111 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Layout\header.css                                        | CSS                  |         59 |          4 |          8 |         71 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\OrderPage\LeftBar.css                            | CSS                  |         38 |          1 |          6 |         45 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\OrderPage\MainContainer.css                      | CSS                  |          7 |          0 |          1 |          8 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\OrderPage\OrderMenuPage.css                      | CSS                  |          8 |          6 |          1 |         15 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\OrderPage\RightBar.css                           | CSS                  |          9 |          0 |          1 |         10 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\OrderPage\TopBar.css                             | CSS                  |         10 |          0 |          2 |         12 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\Panel\MainPanel.css                              | CSS                  |          3 |          2 |          1 |          6 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\Panel\Sidebar.css                                | CSS                  |         70 |          1 |         10 |         81 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\NoUsing\Panel\UsersPage.css                              | CSS                  |          0 |          0 |          1 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\CreatePage.css                                     | CSS                  |         50 |          0 |          9 |         59 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\ItemsPage.css                                      | CSS                  |         49 |          3 |         10 |         62 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\accountpage.css                                    | CSS                  |        109 |         10 |         23 |        142 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\adminpage.css                                      | CSS                  |         38 |         11 |          5 |         54 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\homepage.css                                       | CSS                  |          3 |          0 |          1 |          4 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\Pages\orderpage.css                                      | CSS                  |        288 |         11 |         56 |        355 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\common\logregmodal.css                                   | CSS                  |         30 |          8 |          8 |         46 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\css\common\marker.css                                        | CSS                  |         94 |          0 |         11 |        105 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\index.js                                                     | JavaScript           |         19 |          3 |          3 |         25 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\logo.svg                                                     | XML                  |          1 |          0 |          0 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\adminReducer.js                                     | JavaScript           |        128 |          6 |          6 |        140 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\errors.js                                           | JavaScript           |         35 |          1 |          3 |         39 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\index.js                                            | JavaScript           |         18 |          0 |          3 |         21 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\orderReducer.js                                     | JavaScript           |         74 |          0 |          4 |         78 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\productReducer.js                                   | JavaScript           |        148 |          1 |          6 |        155 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\uiReducer.js                                        | JavaScript           |         44 |          1 |          3 |         48 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\userReducer.js                                      | JavaScript           |        115 |          3 |          4 |        122 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reducers\webSocketReducer.js                                 | JavaScript           |         26 |          0 |          6 |         32 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\reportWebVitals.js                                           | JavaScript           |         12 |          0 |          2 |         14 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\setupTests.js                                                | JavaScript           |          1 |          4 |          1 |          6 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\socket\index.js                                              | JavaScript           |          0 |         28 |          9 |         37 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\store.js                                                     | JavaScript           |         17 |         19 |         10 |         46 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\utils\axiosHeaders.js                                        | JavaScript           |          4 |          0 |          1 |          5 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\utils\texts.js                                               | JavaScript           |          0 |          0 |          1 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\src\utils\util.js                                                | JavaScript           |          4 |          0 |          1 |          5 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\admin-panel\yarn-error.log                                                   | Log                  |     11,057 |          0 |      1,641 |     12,698 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\css\tailwind.css                                              | CSS                  |          3 |          0 |          1 |          4 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\css\tailwind.output.css                                       | CSS                  |          1 |          0 |          0 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\img\github.svg                                                | XML                  |          1 |          0 |          0 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\img\twitter.svg                                               | XML                  |          1 |          0 |          0 |          1 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\js\charts-bars.js                                             | JavaScript           |         28 |          5 |          2 |         35 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\js\charts-lines.js                                            | JavaScript           |         54 |         16 |          2 |         72 |
| d:\Go-Projects\src\GoProjects\CoffeeTwist\backend\assets\js\charts-pie.js                                              | JavaScript           |         22 |         12 |          2 |         36 |
